dtime, time, flightTimeRemaining,acceleration, acceleration(2), acceleration(3),orientation(1), orientation(2), orientation(3),quad_pos(1), quad_pos(2), quad_pos(3),path_pos(1), path_pos(2), path_pos(3),path_psi,omega_psi,controls(1), controls(2), controls(3), controls(4),vbat,path_psi, error_psi
  0.05796623,   2.25864458,  37.74135542,  -0.02636719,   0.01684570,   1.06347656,   1.64157248,   1.56110764,   4.68221712,   2.33794918,   0.18242227,  -0.14224092,   2.34900000,   0.15645777,  -0.33055991,   0.00000000,  -0.20430026, 45810.38843705,   2.85338763,  -0.37118821, -11.70554280,   3.47859240,   0.00000000,  -0.08172011
  0.05596519,   2.31460977,  37.68539023,  -0.04833984,  -0.02026367,   0.99023438,   1.42652059,   1.08119178,   3.36997604,   2.33722527,   0.17826033,  -0.13078438,   2.34900000,   0.15645777,  -0.31936688,   0.00000000,  -0.14704294, 43924.35708906,  -0.63446258,   0.27707811,  -8.42494011,   3.49970675,   0.00000000,  -0.05881718
  0.05596566,   2.37057543,  37.62942457,  -0.03735352,  -0.02075195,   0.99511719,   1.45614207,   0.81914788,   2.00462294,   2.33397530,   0.18232342,  -0.12239841,   2.34900000,   0.15645777,  -0.30817374,   0.00000000,  -0.08746818, 44642.62261526,   2.54060401,   1.16086154,  -5.01155734,   3.49970675,   0.00000000,  -0.03498727
  0.05596805,   2.42654347,  37.57345653,  -0.00439453,   0.04516602,   1.15380859,   1.57998633,   0.42211816,   0.62976605,   2.33394387,   0.17804336,  -0.11511095,   2.34900000,   0.15645777,  -0.29698013,   0.00000000,  -0.02747873, 44850.34600160,  -0.66249554,   0.07593382,  -1.57441512,   3.48914957,   0.00000000,  -0.01099149
  0.05596519,   2.48250866,  37.51749134,  -0.01586914,   0.00732422,   0.95532227,   1.28200901,   0.14229293,  -0.11378691,   2.33015382,   0.17662473,  -0.10783608,   2.34900000,   0.15645777,  -0.28578710,   0.00000000,   0.00496489, 44889.08312175,   0.35975257,   1.54211109,   0.28446727,   3.48914957,   0.00000000,   0.00198596
  0.05596614,   2.53847480,  37.46152520,   0.00732422,   0.04931641,   1.10302734,   1.28880167,  -0.36080083,  -1.43161690,   2.32767761,   0.17622181,  -0.09526764,   2.34900000,   0.15645777,  -0.27459387,   0.00000000,   0.06246607, 43705.82897926,   0.72554560,   1.17470710,   3.57904226,   3.47859240,   0.00000000,   0.02498643
  0.05996490,   2.59843969,  37.40156031,  -0.00561523,  -0.00439453,   1.05444336,   0.71539003,  -0.47238284,  -2.66042352,   2.32243661,   0.17578863,  -0.09202958,   2.34900000,   0.15645777,  -0.26260089,   0.00000000,   0.11608287, 45860.53085780,   0.61963731,   2.12856666,   6.65105879,   3.47859240,   0.00000000,   0.04643315
  0.05696559,   2.65540528,  37.34459472,   0.02343750,   0.03344727,   1.03906250,   0.37821880,  -0.80085367,  -3.72885752,   2.31740639,   0.17000430,  -0.08051237,   2.34900000,   0.15645777,  -0.25120777,   0.00000000,   0.16270210, 44065.21540925,  -1.50234609,   2.24177634,   9.32214379,   3.48914957,   0.00000000,   0.06508084
  0.05896401,   2.71436930,  37.28563070,   0.02026367,   0.08813477,   1.14965820,   0.73331416,  -1.24517536,  -4.61736822,   2.31391201,   0.16841443,  -0.07220402,   2.34900000,   0.15645777,  -0.23941497,   0.00000000,   0.20147070, 44794.13310343,   0.02710142,   1.80249459,  11.54342055,   3.46803522,   0.00000000,   0.08058828
  0.06296277,   2.77733207,  37.22266793,  -0.00634766,   0.00781250,   1.14062500,   0.43983549,  -1.61450064,  -5.30320692,   2.30841714,   0.16226927,  -0.06472839,   2.34900000,   0.15645777,  -0.22682241,   0.00000000,   0.23139605, 45132.34259709,  -1.63329275,   2.35660036,  13.25801730,   3.46803522,   0.00000000,   0.09255842
  0.05696630,   2.83429837,  37.16570163,  -0.00195313,   0.04541016,   1.10864258,  -0.41337901,  -1.72454238,  -5.78042841,   2.30571165,   0.16082792,  -0.05240191,   2.34900000,   0.15645777,  -0.21542915,   0.00000000,   0.25221877, 43886.87780934,  -0.14457162,   1.81201877,  14.45107102,   3.48387098,   0.00000000,   0.10088751
  0.05596638,   2.89026475,  37.10973525,  -0.01171875,  -0.01171875,   1.08471680,  -0.46446070,  -1.77589417,  -6.02010202,   2.30359192,   0.15510762,  -0.04945877,   2.34900000,   0.15645777,  -0.20423588,   0.00000000,   0.26267650, 45948.88086872,  -1.79310849,   1.43087688,  15.05025506,   3.48387098,   0.00000000,   0.10507060
  0.05896354,   2.94922829,  37.05077171,  -0.00830078,   0.01245117,   1.08129883,  -0.53374487,  -2.02702832,  -6.03053427,   2.30465346,   0.15379542,  -0.03810691,   2.34900000,   0.15645777,  -0.19244317,   0.00000000,   0.26313170, 44213.67009783,  -0.11551615,   0.49557525,  15.07633567,   3.48387098,   0.00000000,   0.10525268
  0.05796576,   3.00719404,  36.99280596,  -0.00561523,   0.06372070,   1.10815430,  -0.48507744,  -1.84741580,  -5.77623701,   2.30416344,   0.15351767,  -0.03005432,   2.34900000,   0.15645777,  -0.18085002,   0.00000000,   0.25203589, 44885.77852405,   0.17932058,   1.09606594,  14.44059253,   3.48387098,   0.00000000,   0.10081435
  0.06096387,   3.06815791,  36.93184209,   0.01660156,   0.03076172,   1.17553711,  -0.76713490,  -1.44948721,  -5.34566307,   2.30559351,   0.14811085,  -0.02281388,   2.34900000,   0.15645777,  -0.16865725,   0.00000000,   0.23324855, 45175.31139989,  -1.58064160,   0.25650563,  13.36415768,   3.45747805,   0.00000000,   0.09329942
  0.05696607,   3.12512398,  36.87487602,   0.02416992,   0.04833984,   1.23876953,  -0.35343939,  -0.91119760,  -4.69545698,   2.30592654,   0.14688114,  -0.01589815,   2.34900000,   0.15645777,  -0.15726403,   0.00000000,   0.20487796, 45162.11892338,  -0.27710550,   0.75486374,  11.73864245,   3.46803522,   0.00000000,   0.08195118
  0.05596566,   3.18108964,  36.81891036,  -0.00146484,   0.01147461,   1.06054688,  -0.19019549,  -0.96326154,  -3.88339019,   2.30522140,   0.14660751,  -0.00360661,   2.34900000,   0.15645777,  -0.14607090,   0.00000000,   0.16944486, 43952.92208828,   0.03578269,   1.22477612,   9.70847547,   3.46803522,   0.00000000,   0.06777794
  0.06296206,   3.24405169,  36.75594831,  -0.01293945,  -0.02124023,   1.06591797,  -0.58398050,  -0.79015625,  -2.96656299,   2.30818961,   0.14675764,   0.00491996,   2.34900000,   0.15645777,  -0.13347849,   0.00000000,   0.12944073, 44986.10070531,   0.26774210,  -0.06714742,   7.41640747,   3.46803522,   0.00000000,   0.05177629
  0.05696559,   3.30101728,  36.69898272,  -0.03393555,  -0.03344727,   1.00585938,  -0.39161471,  -0.77569818,  -1.94999468,   2.30885386,   0.14679453,   0.01201196,   2.34900000,   0.15645777,  -0.12208537,   0.00000000,   0.08508457, 45150.42032868,   0.20137763,   0.65526989,   4.87498671,   3.46803522,   0.00000000,   0.03403383
  0.05696607,   3.35798335,  36.64201665,  -0.02587891,  -0.00488281,   0.95043945,   0.14104657,  -0.74592608,  -0.85038024,   2.31205588,   0.14699733,   0.01904454,   2.34900000,   0.15645777,  -0.11069216,   0.00000000,   0.03710484, 45194.33748541,   0.28766879,  -0.31198634,   2.12595060,   3.47859240,   0.00000000,   0.01484194
  0.05696511,   3.41494846,  36.58505154,  -0.01782227,  -0.01904297,   1.00878906,   0.28245294,  -0.51500994,   0.24310766,   2.31668024,   0.15269413,   0.02609983,   2.34900000,   0.15645777,  -0.09929914,   0.00000000,  -0.01060757, 45266.49582279,   2.36878083,  -0.92462091,  -0.60776915,   3.46275663,   0.00000000,  -0.00424303
  0.06196284,   3.47691131,  36.52308869,  -0.00708008,   0.00585938,   0.99023438,   0.21835551,  -0.34140244,   1.26391006,   2.31935250,   0.14869707,   0.03879882,   2.34900000,   0.15645777,  -0.08690657,   0.00000000,  -0.05514848, 44233.26193055,  -1.09786360,  -0.16698147,  -3.15977514,   3.46275663,   0.00000000,  -0.02205939
